sep=;
Schulnummer;Anzahl;
"115654";"251";
"115666";"158";
"115678";"141";
"115680";"404";
"115691";"356";
"115708";"270";
"115710";"200";
"115733";"180";
"115745";"427";
"115757";"400";
"115769";"231";
"115794";"420";
"115800";"339";
"115812";"267";
"115824";"420";
"115836";"261";
"115848";"366";
"115850";"299";
"115897";"94";
"115903";"137";
"115915";"142";
"115939";"222";
"115940";"214";
"115952";"295";
"115964";"180";
"115988";"289";
"115990";"252";
"116002";"366";
"116014";"215";
"116026";"222";
"116038";"248";
"116040";"308";
"116051";"183";
"116075";"278";
"116087";"98";
"116099";"204";
"116105";"336";
"116117";"296";
"116129";"407";
"116166";"270";
"116180";"219";
"116191";"158";
"116208";"317";
"116221";"219";
"116233";"170";
"116245";"159";
"116257";"192";
"116269";"208";
"116270";"204";
"116282";"289";
"116294";"85";
"116312";"200";
"116324";"223";
"116336";"204";
"116348";"158";
"116350";"247";
"116361";"207";
"116385";"166";
"116403";"182";
"116439";"177";
"116440";"252";
"116464";"168";
"116476";"286";
"116488";"154";
"116490";"122";
"116506";"256";
"116518";"238";
"116520";"295";
"116531";"301";
"116543";"89";
"116567";"181";
"116579";"298";
"116580";"389";
"116592";"200";
"116609";"202";
"116610";"193";
"116622";"215";
"116658";"196";
"116660";"212";
"116683";"185";
"116695";"213";
"116701";"446";
"116737";"238";
"116749";"182";
"116762";"174";
"116774";"312";
"116804";"268";
"116816";"199";
"116828";"378";
"116830";"180";
"116841";"207";
"116865";"95";
"116877";"336";
"116889";"246";
"116907";"190";
"116919";"362";
"116920";"182";
"116956";"139";
"116968";"282";
"116970";"274";
"116993";"240";
"117020";"202";
"117031";"385";
"117043";"173";
"117055";"234";
"117067";"220";
"117092";"318";
"117109";"251";
"117110";"211";
"117122";"275";
"117146";"229";
"117158";"183";
"117160";"330";
"117171";"206";
"117183";"195";
"117195";"177";
"117213";"335";
"117237";"203";
"117249";"297";
"117250";"346";
"117262";"266";
"117286";"372";
"117298";"128";
"117316";"188";
"117328";"182";
"117330";"246";
"117341";"199";
"117353";"159";
"117365";"449";
"117377";"203";
"117389";"377";
"117390";"278";
"117420";"326";
"117432";"357";
"117444";"336";
"117456";"216";
"117470";"369";
"117511";"282";
"117523";"272";
"117560";"500";
"117572";"272";
"117602";"118";
"117638";"224";
"117640";"292";
"117651";"293";
"117687";"453";
"117717";"272";
"117729";"141";
"117730";"185";
"117742";"178";
"117754";"271";
"117778";"389";
"117810";"378";
"117821";"179";
"117894";"175";
"117900";"453";
"117912";"576";
"117936";"174";
"117961";"343";
"117985";"207";
"117997";"323";
"118000";"279";
"118023";"228";
"118035";"161";
"118047";"117";
"118059";"266";
"118060";"236";
"118072";"104";
"118102";"218";
"118114";"203";
"118126";"171";
"118138";"132";
"118140";"432";
"118163";"192";
"118187";"203";
"118199";"177";
"118205";"308";
"118217";"184";
"118229";"220";
"118230";"171";
"118242";"105";
"118254";"205";
"118266";"123";
"118278";"162";
"118280";"181";
"118291";"341";
"118333";"291";
"118345";"145";
"118357";"190";
"118382";"196";
"118400";"137";
"118412";"284";
"118424";"150";
"118436";"227";
"118448";"349";
"118461";"336";
"118473";"205";
"118485";"211";
"118497";"178";
"118527";"276";
"118552";"535";
"118564";"198";
"118576";"92";
"118590";"317";
"118606";"364";
"118620";"219";
"118655";"248";
"118680";"362";
"118710";"211";
"118734";"231";
"118758";"212";
"118760";"211";
"118783";"267";
"118795";"215";
"118813";"401";
"118825";"273";
"118837";"227";
"118849";"359";
"118850";"358";
"118862";"232";
"118898";"299";
"118928";"374";
"118930";"195";
"118941";"349";
"118953";"249";
"118965";"227";
"118990";"228";
"119027";"265";
"119039";"433";
"119064";"252";
"119076";"247";
"119088";"217";
"119090";"234";
"119106";"212";
"119118";"252";
"119120";"286";
"119131";"328";
"119143";"221";
"119155";"356";
"119167";"383";
"119180";"440";
"119192";"406";
"119222";"236";
"119234";"298";
"119246";"360";
"119260";"305";
"119271";"224";
"119295";"368";
"119301";"322";
"119313";"354";
"119325";"316";
"119337";"294";
"119374";"368";
"119398";"244";
"119404";"262";
"119430";"262";
"119477";"415";
"119519";"267";
"119532";"516";
"119570";"340";
"119611";"370";
"119635";"392";
"119647";"249";
"119659";"196";
"119660";"195";
"119684";"288";
"119696";"184";
"119702";"320";
"119714";"365";
"119740";"288";
"119763";"274";
"119775";"189";
"119787";"286";
"119799";"199";
"119805";"207";
"119817";"250";
"119829";"204";
"119842";"210";
"119866";"162";
"119878";"315";
"119880";"118";
"119891";"211";
"119908";"208";
"119910";"263";
"119921";"362";
"119945";"343";
"119957";"293";
"119969";"234";
"119970";"299";
"120017";"320";
"120029";"410";
"120030";"273";
"120042";"273";
"120054";"392";
"120066";"299";
"120169";"231";
"120170";"369";
"120182";"162";
"120194";"194";
"120200";"333";
"120224";"200";
"120236";"288";
"120248";"401";
"120250";"207";
"120261";"274";
"120273";"188";
"120285";"215";
"120297";"224";
"120315";"325";
"120327";"504";
"120364";"189";
"120376";"294";
"120388";"210";
"120390";"190";
"120418";"406";
"120420";"162";
"120431";"257";
"120443";"290";
"120455";"205";
"120467";"190";
"120480";"303";
"120492";"283";
"120509";"180";
"120510";"293";
"120522";"139";
"120546";"198";
"120558";"326";
"120560";"289";
"120583";"311";
"120595";"299";
"120662";"283";
"120674";"186";
"120686";"202";
"120698";"324";
"120704";"139";
"120716";"281";
"120728";"205";
"120765";"213";
"120777";"502";
"120790";"231";
"120807";"198";
"120819";"216";
"120832";"283";
"120844";"260";
"120856";"105";
"120868";"432";
"120870";"177";
"120881";"215";
"120893";"244";
"120923";"285";
"120935";"437";
"120947";"271";
"120959";"317";
"120960";"185";
"120972";"306";
"120984";"326";
"120996";"310";
"121009";"386";
"121010";"253";
"121022";"272";
"121034";"133";
"121046";"362";
"121095";"444";
"121113";"294";
"121149";"257";
"121150";"299";
"121162";"254";
"121174";"239";
"121186";"277";
"121198";"276";
"121216";"195";
"121241";"407";
"121253";"329";
"121265";"382";
"121289";"470";
"121290";"227";
"121307";"88";
"121320";"369";
"121332";"366";
"121368";"189";
"121393";"182";
"121400";"138";
"121411";"200";
"121423";"133";
"121435";"235";
"121459";"203";
"121460";"210";
"121472";"234";
"121484";"284";
"121496";"429";
"121526";"477";
"121538";"489";
"121551";"302";
"121563";"321";
"121575";"385";
"121587";"176";
"121599";"232";
"121605";"241";
"121629";"312";
"121630";"229";
"121654";"333";
