sep=;
Traegernummer;Traegerbezeichnung_1;Traegerbezeichnung_2;Traegerbezeichnung_3;Kurzbezeichnung;PLZ;Ort;Strasse;Telefonvorwahl;Telefon;Faxvorwahl;Fax;Gemeindeschluessel;Rechtsform;
"11502";"Stadt Ratingen";"";"";"Stadt Ratingen";"40878";"Ratingen";"Minoritenstr. 2-6";"02102";"55040000";"";"";"05158028";"1";
"11514";"Stadt Velbert";"";"";"Stadt Velbert";"42551";"Velbert";"Thomasstr. 1";"02124";"260";"02124";"2247";"05158032";"1";
"11526";"Stadt Wülfrath";"";"";"Stadt Wülfrath";"42489";"Wülfrath";"Goethestr. 21";"02058";"18232";"02058";"18272";"05158036";"1";
"11538";"Stadt Erkrath";"";"";"Stadt Erkrath";"40699";"Erkrath";"Bahnstr. 16";"0211";"24070";"0211";"24071009";"05158004";"1";
"11599";"Stadt Geldern";"";"";"Stadt Geldern";"47608";"Geldern";"Issumer Tor 36";"02831";"3980";"02831";"398130";"05154012";"1";
"11605";"Gemeinde Issum";"";"";"Gemeinde Issum";"47661";"Issum";"Herrlichkeit 7-9";"02835";"100";"02835";"1010";"05154020";"1";
"11617";"Gemeinde Kerken";"";"";"Gemeinde Kerken";"47647";"Kerken";"Dionysiusplatz 4";"02833";"3041";"";"";"05154028";"1";
"11629";"Stadt Kevelaer";"";"";"Stadt Kevelaer";"47623";"Kevelaer";"Peter-Plümpe-Platz 12";"02832";"1220";"02832";"122770";"05154032";"1";
"11630";"Stadt Straelen";"";"";"Stadt Straelen";"47638";"Straelen";"Rathausstr. 1";"02834";"7020";"02834";"702101";"05154052";"1";
"11642";"Gemeinde Wachtendonk";"";"";"Gemeinde Wachtendonk";"47669";"Wachtendonk";"Weinstr. 1";"02836";"531";"";"";"05154060";"1";
"11654";"Gemeinde Weeze";"";"";"Gemeinde Weeze";"47652";"Weeze";"Cyriakusplatz 14";"02837";"9100";"02837";"910170";"05154064";"1";
"11666";"Stadt Grevenbroich";"";"";"Stadt Grevenbroich";"41515";"Grevenbroich";"Am Markt 1";"02181";"6080";"02181";"608202";"05162008";"1";
"11757";"Stadt Kaarst";"";"";"Stadt Kaarst";"41564";"Kaarst";"Am Neumarkt 2";"02131";"9870";"02131";"987400";"05162016";"1";
"11794";"Stadt Jüchen";"";"";"Stadt Jüchen";"41363";"Jüchen";"Am Rathaus 5";"02165";"9150";"02165";"9151199";"05162012";"1";
"11800";"Stadt Dormagen";"";"";"Stadt Dormagen";"41539";"Dormagen";"Paul-Wierich-Platz 2";"02133";"2570";"02133";"25777000";"05162004";"1";
"11824";"Stadt Meerbusch";"";"";"Stadt Meerbusch";"40667";"Meerbusch";"Dorfstr. 20";"02132";"9160";"";"";"05162022";"1";
"11873";"Stadt Korschenbroich";"";"";"Stadt Korschenbroich";"41352";"Korschenbroich";"Regentenstr. 1";"02161";"6130";"02161";"613108";"05162020";"1";
"11915";"Gemeinde Rommerskirchen";"";"";"Gemeinde Rommerskirchen";"41569";"Rommerskirchen";"Bahnstr. 51";"02183";"8000";"02183";"80027";"05162028";"1";
"11976";"Gemeinde Brüggen";"";"";"Gemeinde Brüggen";"41379";"Brüggen";"Klosterstr. 38";"02163";"5050";"02163";"570165";"05166004";"1";
"11988";"Gemeinde Grefrath";"";"";"Gemeinde Grefrath";"47929";"Grefrath";"Rathausplatz 3";"02158";"40800";"02158";"4080888";"05166008";"1";
"11990";"Stadt Kempen";"";"";"Stadt Kempen";"47906";"Kempen";"Buttermarkt 1";"02152";"9170";"";"";"05166012";"1";
"12002";"Stadt Nettetal";"";"";"Stadt Nettetal";"41334";"Nettetal";"Marktstr. 32";"02153";"1211";"";"";"05166016";"1";
"12014";"Gemeinde Schwalmtal";"";"";"Gemeinde Schwalmtal";"41366";"Schwalmtal";"Markt 20";"02163";"9460";"02163";"946154";"05166024";"1";
"12026";"Stadt Tönisvorst";"";"";"Stadt Tönisvorst";"47918";"Tönisvorst";"Bahnstr. 15";"02151";"9990";"02151";"999311";"05166028";"1";
"12038";"Stadt Viersen";"";"";"Stadt Viersen";"41747";"Viersen";"Bahnhofstr. 23-29";"02162";"101425";"";"";"05166032";"1";
"12040";"Stadt Willich";"";"";"Stadt Willich";"47877";"Willich";"Kaiserplatz 1";"02156";"9490";"02156";"949101";"05166036";"1";
"12051";"Gemeinde Bedburg-Hau";"";"";"Gemeinde Bedburg-Hau";"47551";"Bedburg-Hau";"Rathausplatz 1";"02821";"6600";"02821";"66052";"05154004";"1";
"12063";"Stadt Goch";"";"";"Stadt Goch";"47574";"Goch";"Markt 2";"02823";"3200";"02823";"320236";"05154016";"1";
"12075";"Stadt Kalkar";"";"";"Stadt Kalkar";"47546";"Kalkar";"Markt 20";"02824";"130";"02824";"13234";"05154024";"1";
"12087";"Stadt Kleve";"";"";"Stadt Kleve";"47533";"Kleve";"Kavarinerstr. 20-22";"02821";"841";"02821";"84710";"05154036";"1";
"12099";"Gemeinde Kranenburg";"";"";"Gemeinde Kranenburg";"47559";"Kranenburg";"Klever Str. 4";"02826";"790";"02826";"7977";"05154040";"1";
"12105";"Gemeinde Uedem";"";"";"Gemeinde Uedem";"47589";"Uedem";"Mosterstr. 2";"02825";"880";"02825";"8845";"05154056";"1";
"12129";"Stadt Kamp-Lintfort";"";"";"Stadt Kamp-Lintfort";"47475";"Kamp-Lintfort";"Am Rathaus 1";"02842";"2101";"";"";"05170020";"1";
"12130";"Stadt Moers";"";"";"Stadt Moers";"47441";"Moers";"Rathausplatz 1";"02841";"2011";"02841";"20116888";"05170024";"1";
"12154";"Stadt Rheinberg";"";"";"Stadt Rheinberg";"47495";"Rheinberg";"Kirchplatz 10";"02843";"1710";"";"";"05170032";"1";
"12178";"Stadt Xanten";"";"";"Stadt Xanten";"46509";"Xanten";"Karthaus 2";"02801";"7720";"02801";"772369";"05170052";"1";
